順位,乗降客数,駅名,路線名,区分,事業者名,都道府県コード
132,4124,"水城","鹿児島線","ＪＲ","九州旅客鉄道","40"
133,3930,"西鉄香椎","貝塚線","民営","西日本鉄道","40"
134,3863,"桜坂","3号線(七隈線)","公営","福岡市","40"
135,3763,"小波瀬西工大前","日豊線","ＪＲ","九州旅客鉄道","40"
136,3719,"旦過","小倉線","三セク","北九州高速鉄道","40"
137,3701,"宇美","香椎線","ＪＲ","九州旅客鉄道","40"
138,3686,"桂川","筑豊線","ＪＲ","九州旅客鉄道","40"
139,3478,"三苫","貝塚線","民営","西日本鉄道","40"
140,3476,"宇島","日豊線","ＪＲ","九州旅客鉄道","40"
141,3463,"中間","筑豊線","ＪＲ","九州旅客鉄道","40"
142,3328,"大善寺","天神大牟田線","民営","西日本鉄道","40"
143,3280,"香椎花園前","貝塚線","民営","西日本鉄道","40"
144,3242,"梅林","3号線(七隈線)","公営","福岡市","40"
145,3220,"和白","香椎線","ＪＲ","九州旅客鉄道","40"
146,3143,"徳力嵐山口","小倉線","三セク","北九州高速鉄道","40"
147,3135,"ししぶ","鹿児島線","ＪＲ","九州旅客鉄道","40"
148,2982,"原町","篠栗線","ＪＲ","九州旅客鉄道","40"
148,2982,"名島","貝塚線","民営","西日本鉄道","40"
150,2963,"土井","香椎線","ＪＲ","九州旅客鉄道","40"
151,2949,"試験場前","天神大牟田線","民営","西日本鉄道","40"
152,2921,"小森江","鹿児島線","ＪＲ","九州旅客鉄道","40"
153,2886,"荒木","鹿児島線","ＪＲ","九州旅客鉄道","40"
154,2827,"大保","天神大牟田線","民営","西日本鉄道","40"
155,2753,"須恵中央","香椎線","ＪＲ","九州旅客鉄道","40"
156,2744,"門松","篠栗線","ＪＲ","九州旅客鉄道","40"
157,2694,"南行橋","日豊線","ＪＲ","九州旅客鉄道","40"
158,2647,"二島","筑豊線","ＪＲ","九州旅客鉄道","40"
159,2546,"久留米大学前","久大線","ＪＲ","九州旅客鉄道","40"
160,2518,"津古","天神大牟田線","民営","西日本鉄道","40"
161,2480,"津福","天神大牟田線","民営","西日本鉄道","40"
162,2418,"香椎宮前","貝塚線","民営","西日本鉄道","40"
163,2397,"若松","筑豊線","ＪＲ","九州旅客鉄道","40"
164,2364,"筑後船小屋","鹿児島線","ＪＲ","九州旅客鉄道","40"
165,2356,"志井","小倉線","三セク","北九州高速鉄道","40"
166,2333,"三ヶ森","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
167,2318,"本城","筑豊線","ＪＲ","九州旅客鉄道","40"
168,2306,"都府楼南","鹿児島線","ＪＲ","九州旅客鉄道","40"
169,2276,"瀬高","鹿児島線","ＪＲ","九州旅客鉄道","40"
170,2247,"奈多","香椎線","ＪＲ","九州旅客鉄道","40"
171,2228,"飯塚","筑豊線","ＪＲ","九州旅客鉄道","40"
172,2204,"城野","小倉線","三セク","北九州高速鉄道","40"
173,2194,"宮の陣","天神大牟田線","民営","西日本鉄道","40"
174,2163,"和白","貝塚線","民営","西日本鉄道","40"
175,2119,"桜台","天神大牟田線","民営","西日本鉄道","40"
176,2080,"舞松原","香椎線","ＪＲ","九州旅客鉄道","40"
177,2053,"美咲が丘","筑肥線","ＪＲ","九州旅客鉄道","40"
178,2037,"糸島高校前","筑肥線","ＪＲ","九州旅客鉄道","40"
179,2033,"香椎神宮","香椎線","ＪＲ","九州旅客鉄道","40"
180,1870,"三沢","天神大牟田線","民営","西日本鉄道","40"
181,1817,"新田原","日豊線","ＪＲ","九州旅客鉄道","40"
182,1808,"西戸崎","香椎線","ＪＲ","九州旅客鉄道","40"
183,1804,"筑前深江","筑肥線","ＪＲ","九州旅客鉄道","40"
184,1728,"志井公園","日田彦山線","ＪＲ","九州旅客鉄道","40"
185,1725,"端間","天神大牟田線","民営","西日本鉄道","40"
186,1720,"椎田","日豊線","ＪＲ","九州旅客鉄道","40"
187,1707,"田川後藤寺","日田彦山線","ＪＲ","九州旅客鉄道","40"
188,1674,"今池","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
189,1670,"通谷","筑豊電気鉄道線","民営","筑豊電気鉄道","40"
190,1556,"伊賀","香椎線","ＪＲ","九州旅客鉄道","40"
191,1541,"北野","甘木線","民営","西日本鉄道","40"
192,1534,"直方","伊田線","三セク","平成筑豊鉄道","40"
193,1508,"築城","日豊線","ＪＲ","九州旅客鉄道","40"
194,1471,"海ノ中道","香椎線","ＪＲ","九州旅客鉄道","40"
195,1437,"鞍手","筑豊線","ＪＲ","九州旅客鉄道","40"
196,1389,"小竹","筑豊線","ＪＲ","九州旅客鉄道","40"
196,1389,"筑前大分","篠栗線","ＪＲ","九州旅客鉄道","40"
198,1384,"西鉄新宮","貝塚線","民営","西日本鉄道","40"
199,1353,"久留米高校前","久大線","ＪＲ","九州旅客鉄道","40"
200,1304,"須恵","香椎線","ＪＲ","九州旅客鉄道","40"
201,1299,"田川伊田","日田彦山線","ＪＲ","九州旅客鉄道","40"
