Station,Station Latitude,Station Longitude,Daily Passengers,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue Subcategory
Umebayashi,33.545805555555546,130.35493888888888,3242,福岡大学図書館 医学部分館,33.54668777232925,130.3581258761502,Education,College Library
Umebayashi,33.545805555555546,130.35493888888888,3242,福岡大学医学部,33.546238,130.35902,Education,Medical School
Umebayashi,33.545805555555546,130.35493888888888,3242,福岡大学 第七食堂,33.54620551599882,130.35927951335907,Education,College Cafeteria
Fukudaimae,33.547469444444445,130.36222777777778,14098,Fukuoka University (福岡大学),33.548320278268065,130.3651142411338,Education,University
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 文系センター棟,33.54779548301411,130.36392525990337,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 17号館,33.548836,130.36278,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 8号館,33.54844461190124,130.36500070314486,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学10号館,33.54771775745077,130.36454018389264,Education,College Classroom
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 2号館,33.549644,130.36505,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 18号館,33.550236,130.36433,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 9号館,33.55028290154084,130.36478877067566,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 1号館,33.549513699765754,130.36587751618873,Education,College Academic Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 A棟,33.54901586839292,130.36562594961006,Education,College Classroom
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 第一売店,33.54914,130.366415,Education,General College & University
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 16号館,33.54891,130.36354,Education,College Science Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 第二記念会堂,33.544586,130.36174,Education,College Auditorium
Fukudaimae,33.547469444444445,130.36222777777778,14098,新中央図書館棟,33.549281185284286,130.36453647473607,Education,College Library
Fukudaimae,33.547469444444445,130.36222777777778,14098,Fukuoka University Central Library (福岡大学中央図書館),33.54954743725977,130.36421501088697,Education,College Library
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 中庭,33.54776272263981,130.36359012098583,Education,College Quad
Fukudaimae,33.547469444444445,130.36222777777778,14098,福大メディカルホール,33.547764,130.359987,Education,College Quad
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学図書館 医学部分館,33.54668777232925,130.3581258761502,Education,College Library
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 7号館,33.54864,130.36664,Education,College Arts Building
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 図書館 理学部分室,33.550847,130.364401,Education,College Library
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 オアシス,33.548296528103705,130.36517207841996,Education,College Quad
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学医学部,33.546238,130.35902,Education,Medical School
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学文系センター スカイラウンジ,33.547886,130.36423,Education,College Cafeteria
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 ヘリオスプラザ,33.54725453336509,130.364636327151,Education,College Bookstore
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 サッカー場,33.546446900748876,130.36452054977417,Education,College Soccer Field
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 8号館,33.54798457774319,130.36601712811273,Education,College Cafeteria
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 第二食堂,33.547993866678915,130.36604940891266,Education,College Cafeteria
Fukudaimae,33.547469444444445,130.36222777777778,14098,福岡大学 ラグビー場,33.54420251929725,130.36482095718384,Education,College Football Field
Nanakuma,33.553263888888885,130.36168055555555,9968,福岡大学 14号館,33.551699013744496,130.36570694388013,Education,College Academic Building
Nanakuma,33.553263888888885,130.36168055555555,9968,福岡大学 18号館,33.550236,130.36433,Education,College Academic Building
Nanakuma,33.553263888888885,130.36168055555555,9968,福岡大学 9号館,33.55028290154084,130.36478877067566,Education,College Academic Building
Nanakuma,33.553263888888885,130.36168055555555,9968,福岡大学 図書館 理学部分室,33.550847,130.364401,Education,College Library
Nanakuma,33.553263888888885,130.36168055555555,9968,福岡大学 11号館,33.551407,130.36598,Education,College Engineering Building
Nanakuma,33.553263888888885,130.36168055555555,9968,Fukuoka University Central Library (福岡大学中央図書館),33.54954743725977,130.36421501088697,Education,College Library
Kashii,33.65952777777777,130.44411111111108,25321,株式会社アポロ福岡,33.65885957501154,130.44208573816454,Education,Community College
HigashiHie,33.589894444444454,130.43127777777778,23356,富士通ラーニングメディア 九州ラーニングセンター,33.58911945157656,130.4311016661339,Education,Trade School
HigashiHie,33.589894444444454,130.43127777777778,23356,麻生リハビリテーション大学校,33.58958071724365,130.4312061438932,Education,Trade School
HigashiHie,33.589894444444454,130.43127777777778,23356,麻生工科自動車大学校,33.591505,130.4280468,Education,Trade School
Kanayama,33.559372222222215,130.36156111111111,6098,Vitamin English School,33.558873,130.360396,Education,College Classroom
Kanayama,33.559372222222215,130.36156111111111,6098,Bonheur (ボヌール),33.55642,130.36113,Education,Flower Shop
Chayama,33.56606388888889,130.36543055555555,4986,Nakamura Gakuen University (中村学園大学),33.57000824447063,130.36388257422928,Education,University
Kaizuka,33.632175000000004,130.42557777777776,38139,九混 貝塚部室,33.62894843146385,130.42448436260267,Education,University
Kaizuka,33.632175000000004,130.42557777777776,38139,九州大学農学部4号館,33.629089,130.425881,Education,College Academic Building
